0,1
generations,200
cross_over_prob,0.95
mutation_prob,0.9
population_size,30
chromosome_bits,23
elitism,True

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
76,6.522306287503261e-05,3.510989396812022e-05,4.849230226088496e-05,0.0014547690678265487,3.011316890691239e-05,"[12, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 19, 22, 21, 20, 18, 15, 14, 17, 11, 10]",73
77,6.547930853850184e-05,3.466564980760565e-05,4.7851447737286204e-05,0.0014355434321185862,3.081365873089619e-05,"[18, 13, 16, 15, 6, 9, 5, 8, 3, 2, 1, 4, 0, 19, 22, 21, 20, 10, 7, 11, 17, 14, 12]",77
78,6.656460094521733e-05,3.378264247829465e-05,4.887958407029555e-05,0.0014663875221088665,3.278195846692268e-05,"[17, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 19, 22, 21, 20, 18, 15, 12, 14, 11, 10]",78
79,6.656460094521733e-05,3.3904051534158335e-05,5.144098528310911e-05,0.0015432295584932732,3.2660549411058995e-05,"[17, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 19, 22, 21, 20, 18, 15, 12, 14, 11, 10]",78
80,6.656460094521733e-05,3.23185314459311e-05,5.085476108855473e-05,0.001525642832656642,3.424606949928623e-05,"[17, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 19, 22, 21, 20, 18, 15, 12, 14, 11, 10]",78
81,6.656460094521733e-05,3.1461381154632686e-05,4.995954485558448e-05,0.0014987863456675343,3.5103219790584644e-05,"[17, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 19, 22, 21, 20, 18, 15, 12, 14, 11, 10]",78
82,6.656460094521733e-05,3.558085749866572e-05,5.3338610810554686e-05,0.0016001583243166406,3.098374344655161e-05,"[17, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 19, 22, 21, 20, 18, 15, 12, 14, 11, 10]",78
83,6.656460094521733e-05,3.2701111837802485e-05,5.340383807669542e-05,0.0016021151423008626,3.3863489107414845e-05,"[17, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 19, 22, 21, 20, 18, 15, 12, 14, 11, 10]",78
84,6.656460094521733e-05,3.5513885929398395e-05,5.2095382253412065e-05,0.001562861467602362,3.1050715015818935e-05,"[17, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 19, 22, 21, 20, 18, 15, 12, 14, 11, 10]",78
85,6.656460094521733e-05,3.2324799586242565e-05,5.105442980315231e-05,0.0015316328940945692,3.4239801358974765e-05,"[17, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 19, 22, 21, 20, 18, 15, 12, 14, 11, 10]",78
